date,meantemp,humidity,windspeedKmph,pressure,location
2018-12-11,26,73,28,1009,Port-Vila
2018-12-11,25,74,27,1009,Port-Vila
2018-12-11,26,74,28,1010,Port-Vila
2018-12-11,26,72,27,1010,Port-Vila
2018-12-11,26,71,26,1009,Port-Vila
2018-12-11,26,73,27,1009,Port-Vila
2018-12-11,26,77,29,1010,Port-Vila
2018-12-11,25,77,27,1010,Port-Vila
2018-12-12,25,77,28,1010,Port-Vila
2018-12-12,25,76,28,1010,Port-Vila
2018-12-12,25,73,27,1010,Port-Vila
2018-12-12,26,71,23,1010,Port-Vila
2018-12-12,26,71,24,1009,Port-Vila
2018-12-12,26,71,24,1009,Port-Vila
2018-12-12,26,72,25,1010,Port-Vila
2018-12-12,26,73,26,1011,Port-Vila
2018-12-13,26,71,22,1009,Port-Vila
2018-12-13,26,71,19,1009,Port-Vila
2018-12-13,26,68,19,1010,Port-Vila
2018-12-13,27,69,18,1010,Port-Vila
2018-12-13,27,68,20,1009,Port-Vila
2018-12-13,27,70,23,1009,Port-Vila
2018-12-13,26,72,22,1010,Port-Vila
2018-12-13,26,73,23,1010,Port-Vila
2018-12-14,26,73,21,1009,Port-Vila
2018-12-14,26,73,21,1010,Port-Vila
2018-12-14,26,73,22,1010,Port-Vila
2018-12-14,27,73,23,1010,Port-Vila
2018-12-14,27,72,23,1009,Port-Vila
2018-12-14,27,73,26,1009,Port-Vila
2018-12-14,26,76,27,1010,Port-Vila
2018-12-14,26,78,25,1011,Port-Vila
2018-12-15,26,80,27,1010,Port-Vila
2018-12-15,26,81,27,1010,Port-Vila
2018-12-15,26,80,26,1011,Port-Vila
2018-12-15,26,79,26,1011,Port-Vila
2018-12-15,27,77,26,1009,Port-Vila
2018-12-15,26,77,25,1009,Port-Vila
2018-12-15,26,77,26,1010,Port-Vila
2018-12-15,26,77,26,1010,Port-Vila
2018-12-16,26,78,23,1009,Port-Vila
2018-12-16,26,77,21,1009,Port-Vila
2018-12-16,26,78,21,1010,Port-Vila
2018-12-16,27,77,20,1009,Port-Vila
2018-12-16,27,77,24,1008,Port-Vila
2018-12-16,27,79,28,1008,Port-Vila
2018-12-16,27,80,29,1009,Port-Vila
2018-12-16,26,80,28,1010,Port-Vila
2018-12-17,26,80,29,1009,Port-Vila
2018-12-17,26,81,30,1009,Port-Vila
2018-12-17,26,79,29,1010,Port-Vila
2018-12-17,26,77,25,1010,Port-Vila
2018-12-17,26,76,24,1009,Port-Vila
2018-12-17,26,78,26,1009,Port-Vila
2018-12-17,26,80,27,1011,Port-Vila
2018-12-17,26,79,24,1011,Port-Vila
2018-12-18,26,78,21,1010,Port-Vila
2018-12-18,26,78,22,1010,Port-Vila
2018-12-18,26,79,20,1011,Port-Vila
